N,replication,J_hat_N,se,lo,hi,covers
32,1,-3.1461441685e+01,4.7562394349e-01,-3.2393647485e+01,-3.0529235886e+01,1
32,2,-3.1947313566e+01,6.1194064460e-01,-3.3146695190e+01,-3.0747931942e+01,1
32,3,-3.1773035589e+01,6.3390099083e-01,-3.3015458700e+01,-3.0530612477e+01,1
32,4,-3.2463414774e+01,6.4410664206e-01,-3.3725840595e+01,-3.1200988953e+01,1
32,5,-3.2083461690e+01,6.1192133088e-01,-3.3282805460e+01,-3.0884117920e+01,1
32,6,-3.1978453973e+01,5.9031590524e-01,-3.3135451887e+01,-3.0821456059e+01,1
32,7,-3.1630362015e+01,5.9641058672e-01,-3.2799305285e+01,-3.0461418745e+01,1
32,8,-3.1067659766e+01,5.3926558881e-01,-3.2124600898e+01,-3.0010718633e+01,1
32,9,-3.2391492072e+01,5.9666153112e-01,-3.3560927184e+01,-3.1222056960e+01,1
32,10,-3.3112066622e+01,4.9548005032e-01,-3.4083189676e+01,-3.2140943568e+01,0
32,11,-3.0766005423e+01,5.2699708633e-01,-3.1798900732e+01,-2.9733110114e+01,0
32,12,-3.2966919564e+01,6.3306872429e-01,-3.4207711463e+01,-3.1726127665e+01,1
32,13,-3.2335328450e+01,5.5269491657e-01,-3.3418590581e+01,-3.1252066319e+01,1
32,14,-3.1690408165e+01,6.4931460260e-01,-3.2963041401e+01,-3.0417774929e+01,1
32,15,-3.3299414108e+01,5.6510027731e-01,-3.4406990300e+01,-3.2191837917e+01,0
32,16,-3.2582881953e+01,5.7482472833e-01,-3.3709517718e+01,-3.1456246188e+01,1
32,17,-3.2516603221e+01,6.6672082207e-01,-3.3823352020e+01,-3.1209854422e+01,1
32,18,-3.0962698404e+01,6.4878590481e-01,-3.2234295411e+01,-2.9691101397e+01,1
32,19,-3.2327382784e+01,4.0291036305e-01,-3.3117072585e+01,-3.1537692984e+01,1
32,20,-3.2648444638e+01,6.4791028566e-01,-3.3918325463e+01,-3.1378563813e+01,1
32,21,-3.2083365072e+01,7.0909781340e-01,-3.3473171248e+01,-3.0693558896e+01,1
32,22,-3.1628635064e+01,4.6349985093e-01,-3.2537078079e+01,-3.0720192050e+01,1
32,23,-3.2156239134e+01,6.2940544942e-01,-3.3389851146e+01,-3.0922627121e+01,1
32,24,-3.1875400154e+01,5.6717786228e-01,-3.2987048336e+01,-3.0763751971e+01,1
32,25,-3.1781193537e+01,5.7241969129e-01,-3.2903115516e+01,-3.0659271558e+01,1
32,26,-3.2058523249e+01,6.6754827489e-01,-3.3366893826e+01,-3.0750152672e+01,1
32,27,-3.2104681768e+01,7.6571656924e-01,-3.3605458666e+01,-3.0603904870e+01,1
32,28,-3.0667634148e+01,6.9016626430e-01,-3.2020335169e+01,-2.9314933126e+01,0
32,29,-3.2358313388e+01,6.1139826881e-01,-3.3556631975e+01,-3.1159994801e+01,1
32,30,-3.1353701196e+01,6.0236255722e-01,-3.2534310113e+01,-3.0173092278e+01,1
32,31,-3.2581051518e+01,6.1322392649e-01,-3.3782948328e+01,-3.1379154708e+01,1
32,32,-3.1388890528e+01,5.6888213405e-01,-3.2503879023e+01,-3.0273902034e+01,1
32,33,-3.1623091709e+01,5.7249302521e-01,-3.2745157420e+01,-3.0501025998e+01,1
32,34,-3.1453329449e+01,5.8519813051e-01,-3.2600296709e+01,-3.0306362189e+01,1
32,35,-3.1676659182e+01,6.8498337304e-01,-3.3019201923e+01,-3.0334116441e+01,1
32,36,-3.2199133462e+01,5.5889474590e-01,-3.3294547035e+01,-3.1103719888e+01,1
32,37,-3.2602887932e+01,7.5812597391e-01,-3.4088787537e+01,-3.1116988327e+01,1
32,38,-3.1763824529e+01,6.3701401482e-01,-3.3012349055e+01,-3.0515300002e+01,1
32,39,-3.1576049519e+01,6.1003630713e-01,-3.2771698710e+01,-3.0380400328e+01,1
32,40,-3.2132680729e+01,6.3442791297e-01,-3.3376136590e+01,-3.0889224869e+01,1
32,41,-3.1713042340e+01,4.7755591174e-01,-3.2649034728e+01,-3.0777049953e+01,1
32,42,-3.0978510685e+01,6.8859032116e-01,-3.2328122914e+01,-2.9628898455e+01,1
32,43,-3.2073790928e+01,6.9091440503e-01,-3.3427958278e+01,-3.0719623577e+01,1
32,44,-3.2342976630e+01,5.7854003637e-01,-3.3476894265e+01,-3.1209058995e+01,1
32,45,-3.1203133736e+01,5.9732343111e-01,-3.2373866148e+01,-3.0032401324e+01,1
32,46,-3.2467326430e+01,6.9305771097e-01,-3.3825694583e+01,-3.1108958278e+01,1
32,47,-3.2294779848e+01,7.0060490701e-01,-3.3667940233e+01,-3.0921619463e+01,1
32,48,-3.1761424092e+01,5.5197580847e-01,-3.2843276797e+01,-3.0679571387e+01,1
32,49,-3.2080509090e+01,5.9784307607e-01,-3.3252259988e+01,-3.0908758193e+01,1
32,50,-3.1656509562e+01,6.1243506903e-01,-3.2856860240e+01,-3.0456158884e+01,1
32,51,-3.2940428395e+01,6.7067140596e-01,-3.4254920196e+01,-3.1625936594e+01,1
32,52,-3.1755685793e+01,6.9266290094e-01,-3.3113280132e+01,-3.0398091454e+01,1
32,53,-3.1755391166e+01,5.9548847714e-01,-3.2922527134e+01,-3.0588255197e+01,1
32,54,-3.2495602081e+01,5.8728104012e-01,-3.3646651768e+01,-3.1344552393e+01,1
32,55,-3.1489433944e+01,5.8621122016e-01,-3.2638386823e+01,-3.0340481065e+01,1
32,56,-3.1517456390e+01,6.5720737672e-01,-3.2805559179e+01,-3.0229353601e+01,1
32,57,-3.2220235439e+01,7.0536525893e-01,-3.3602725942e+01,-3.0837744935e+01,1
32,58,-3.1838717295e+01,6.3388697675e-01,-3.3081112940e+01,-3.0596321650e+01,1
32,59,-3.2533621017e+01,5.5499210823e-01,-3.3621385561e+01,-3.1445856473e+01,1
32,60,-3.1088177095e+01,5.2499991495e-01,-3.2117158021e+01,-3.0059196170e+01,1
32,61,-3.1698917915e+01,7.2582461574e-01,-3.3121508021e+01,-3.0276327809e+01,1
32,62,-3.1054468650e+01,5.9260797810e-01,-3.2215958944e+01,-2.9892978356e+01,1
32,63,-3.2194868762e+01,6.7998377793e-01,-3.3527612477e+01,-3.0862125047e+01,1
32,64,-3.2313752224e+01,5.3461487166e-01,-3.3361578118e+01,-3.1265926330e+01,1
32,65,-3.2790439454e+01,8.1576256035e-01,-3.4389304693e+01,-3.1191574216e+01,1
32,66,-3.2836035463e+01,7.2581893708e-01,-3.4258614439e+01,-3.1413456487e+01,1
32,67,-3.2200595277e+01,6.5662749528e-01,-3.3487561519e+01,-3.0913629035e+01,1
32,68,-3.1775304842e+01,6.4208448040e-01,-3.3033767299e+01,-3.0516842385e+01,1
32,69,-3.1812276708e+01,6.0570000341e-01,-3.2999426900e+01,-3.0625126516e+01,1
32,70,-3.1786744486e+01,6.2856039524e-01,-3.3018700222e+01,-3.0554788749e+01,1
32,71,-3.2227663022e+01,6.7337307081e-01,-3.3547449989e+01,-3.0907876055e+01,1
32,72,-3.1338219896e+01,6.7091743690e-01,-3.2653193909e+01,-3.0023245883e+01,1
32,73,-3.2007062666e+01,5.7431088115e-01,-3.3132691309e+01,-3.0881434023e+01,1
32,74,-3.1450689891e+01,6.0328049725e-01,-3.2633097938e+01,-3.0268281844e+01,1
32,75,-3.2960393945e+01,6.9053259778e-01,-3.4313812967e+01,-3.1606974923e+01,1
32,76,-3.2714225490e+01,7.0975147804e-01,-3.4105312825e+01,-3.1323138155e+01,1
32,77,-3.2211416079e+01,7.3898038117e-01,-3.3659791011e+01,-3.0763041147e+01,1
32,78,-3.1733499187e+01,6.0639655980e-01,-3.2922014605e+01,-3.0544983770e+01,1
32,79,-3.3252592100e+01,7.1041683927e-01,-3.4644983519e+01,-3.1860200681e+01,1
32,80,-3.1910138876e+01,6.4107806901e-01,-3.3166628802e+01,-3.0653648949e+01,1
32,81,-3.2492221388e+01,6.2008659655e-01,-3.3707568784e+01,-3.1276873991e+01,1
32,82,-3.1671638163e+01,6.5736709041e-01,-3.2960053985e+01,-3.0383222341e+01,1
32,83,-3.2497677479e+01,6.7418468064e-01,-3.3819055172e+01,-3.1176299786e+01,1
32,84,-3.2302801020e+01,7.5982856420e-01,-3.3792037641e+01,-3.0813564400e+01,1
32,85,-3.1328493921e+01,6.1948120445e-01,-3.2542654770e+01,-3.0114333071e+01,1
32,86,-3.1263126109e+01,8.1070310633e-01,-3.2852074999e+01,-2.9674177218e+01,1
32,87,-3.2080104167e+01,6.5245947300e-01,-3.3358901235e+01,-3.0801307098e+01,1
32,88,-3.2443519549e+01,5.1384177776e-01,-3.3450630927e+01,-3.1436408171e+01,1
32,89,-3.2161266867e+01,5.9003788494e-01,-3.3317719871e+01,-3.1004813863e+01,1
32,90,-3.1997607166e+01,5.6750070951e-01,-3.3109888118e+01,-3.0885326214e+01,1
32,91,-3.2721348126e+01,6.5081741460e-01,-3.3996926819e+01,-3.1445769433e+01,1
32,92,-3.1560326327e+01,6.6936021015e-01,-3.2872248232e+01,-3.0248404423e+01,1
32,93,-3.2528905672e+01,8.2426992748e-01,-3.4144445043e+01,-3.0913366301e+01,1
32,94,-3.2047469580e+01,8.2083306189e-01,-3.3656272819e+01,-3.0438666341e+01,1
32,95,-3.1900786982e+01,6.3627812652e-01,-3.3147869194e+01,-3.0653704770e+01,1
32,96,-3.2483205496e+01,7.1163076909e-01,-3.3877976174e+01,-3.1088434819e+01,1
32,97,-3.0847930361e+01,6.0363290154e-01,-3.2031029108e+01,-2.9664831614e+01,0
32,98,-3.2318740449e+01,6.1183794932e-01,-3.3517920794e+01,-3.1119560104e+01,1
32,99,-3.2618918177e+01,7.7838949508e-01,-3.4144533554e+01,-3.1093302801e+01,1
32,100,-3.1459076491e+01,7.1472582394e-01,-3.2859913365e+01,-3.0058239618e+01,1
64,1,-3.1413567872e+01,3.9752661571e-01,-3.2192705722e+01,-3.0634430023e+01,1
64,2,-3.1516743329e+01,4.4231193408e-01,-3.2383658789e+01,-3.0649827868e+01,1
64,3,-3.2123567079e+01,4.5207390896e-01,-3.3009615658e+01,-3.1237518499e+01,1
64,4,-3.2101166558e+01,4.3379584327e-01,-3.2951390788e+01,-3.1250942329e+01,1
64,5,-3.2352544532e+01,4.5449514564e-01,-3.3243338648e+01,-3.1461750415e+01,1
64,6,-3.1671591146e+01,5.1177747234e-01,-3.2674656560e+01,-3.0668525733e+01,1
64,7,-3.1858895192e+01,4.2603493154e-01,-3.2693908314e+01,-3.1023882070e+01,1
64,8,-3.1608009861e+01,4.1497983464e-01,-3.2421355391e+01,-3.0794664331e+01,1
64,9,-3.2184068412e+01,4.5291928395e-01,-3.3071773897e+01,-3.1296362928e+01,1
64,10,-3.2903179763e+01,4.0371348772e-01,-3.3694443659e+01,-3.2111915867e+01,0
64,11,-3.1520405906e+01,4.4788329455e-01,-3.2398241033e+01,-3.0642570780e+01,1
64,12,-3.1910598351e+01,4.8089850858e-01,-3.2853142108e+01,-3.0968054594e+01,1
64,13,-3.2409273249e+01,4.4607990838e-01,-3.3283573804e+01,-3.1534972694e+01,1
64,14,-3.1801803315e+01,4.7265554686e-01,-3.2728191164e+01,-3.0875415466e+01,1
64,15,-3.2495013574e+01,4.5489193968e-01,-3.3386585393e+01,-3.1603441755e+01,1
64,16,-3.1895008445e+01,4.1155775994e-01,-3.2701646832e+01,-3.1088370058e+01,1
64,17,-3.2334524880e+01,4.3005791066e-01,-3.3177422896e+01,-3.1491626864e+01,1
64,18,-3.1415199146e+01,4.2896083791e-01,-3.2255946939e+01,-3.0574451353e+01,1
64,19,-3.2238491402e+01,3.7807125512e-01,-3.2979497446e+01,-3.1497485358e+01,1
64,20,-3.2792770662e+01,4.4353029355e-01,-3.3662074064e+01,-3.1923467261e+01,1
64,21,-3.1869278740e+01,5.3961035569e-01,-3.2926895603e+01,-3.0811661877e+01,1
64,22,-3.1684083580e+01,3.8130609503e-01,-3.2431429794e+01,-3.0936737367e+01,1
64,23,-3.2111144162e+01,4.3910612098e-01,-3.2971776345e+01,-3.1250511980e+01,1
64,24,-3.2350718548e+01,4.2561623019e-01,-3.3184911030e+01,-3.1516526065e+01,1
64,25,-3.1378848523e+01,4.5974295739e-01,-3.2279928162e+01,-3.0477768884e+01,1
64,26,-3.2273632998e+01,4.8460102781e-01,-3.3223433559e+01,-3.1323832437e+01,1
64,27,-3.1901556182e+01,4.9587724639e-01,-3.2873457726e+01,-3.0929654638e+01,1
64,28,-3.1998611596e+01,5.2553469280e-01,-3.3028640666e+01,-3.0968582525e+01,1
64,29,-3.2356426053e+01,4.0249693064e-01,-3.3145305541e+01,-3.1567546565e+01,1
64,30,-3.1653083703e+01,4.6364470510e-01,-3.2561810626e+01,-3.0744356779e+01,1
64,31,-3.2686281306e+01,4.2316824604e-01,-3.3515675828e+01,-3.1856886784e+01,1
64,32,-3.2069545257e+01,4.2113866628e-01,-3.2894961875e+01,-3.1244128638e+01,1
64,33,-3.2154411964e+01,4.2007945271e-01,-3.2977752562e+01,-3.1331071366e+01,1
64,34,-3.1531261540e+01,4.3556132052e-01,-3.2384946041e+01,-3.0677577038e+01,1
64,35,-3.1489307668e+01,4.5103931765e-01,-3.2373328486e+01,-3.0605286850e+01,1
64,36,-3.1949889651e+01,4.5158966504e-01,-3.2834989130e+01,-3.1064790171e+01,1
64,37,-3.1588077778e+01,4.8862507896e-01,-3.2545765335e+01,-3.0630390221e+01,1
64,38,-3.2162628449e+01,4.4849335478e-01,-3.3041659272e+01,-3.1283597626e+01,1
64,39,-3.1699291770e+01,4.6421833274e-01,-3.2609142983e+01,-3.0789440557e+01,1
64,40,-3.2002930462e+01,4.7262826279e-01,-3.2929264835e+01,-3.1076596089e+01,1
64,41,-3.1866710700e+01,4.0304023498e-01,-3.2656655044e+01,-3.1076766355e+01,1
64,42,-3.1402149884e+01,5.0523186010e-01,-3.2392386133e+01,-3.0411913634e+01,1
64,43,-3.2143192118e+01,4.4750005465e-01,-3.3020276108e+01,-3.1266108128e+01,1
64,44,-3.2140668149e+01,4.1567738818e-01,-3.2955380859e+01,-3.1325955439e+01,1
64,45,-3.2109003450e+01,4.7373418712e-01,-3.3037505395e+01,-3.1180501505e+01,1
64,46,-3.2897398513e+01,5.3006135432e-01,-3.3936299677e+01,-3.1858497349e+01,1
64,47,-3.2399140136e+01,4.7670396149e-01,-3.3333462732e+01,-3.1464817541e+01,1
64,48,-3.1095613742e+01,4.2075982675e-01,-3.1920287849e+01,-3.0270939635e+01,0
64,49,-3.2369609511e+01,4.4295198852e-01,-3.3237779455e+01,-3.1501439566e+01,1
64,50,-3.2104791760e+01,4.6730708119e-01,-3.3020696809e+01,-3.1188886711e+01,1
64,51,-3.2341350230e+01,4.7685238873e-01,-3.3275963738e+01,-3.1406736722e+01,1
64,52,-3.2197185381e+01,4.9280691382e-01,-3.3163069184e+01,-3.1231301579e+01,1
64,53,-3.1711378165e+01,4.4724809560e-01,-3.2587968325e+01,-3.0834788005e+01,1
64,54,-3.2712634201e+01,4.3654622097e-01,-3.3568249071e+01,-3.1857019330e+01,1
64,55,-3.1277378070e+01,3.9280688602e-01,-3.2047265419e+01,-3.0507490720e+01,0
64,56,-3.1115389828e+01,4.8114372163e-01,-3.2058414194e+01,-3.0172365462e+01,0
64,57,-3.2561435967e+01,5.0405136480e-01,-3.3549358489e+01,-3.1573513446e+01,1
64,58,-3.1638621896e+01,4.9413119411e-01,-3.2607101240e+01,-3.0670142552e+01,1
64,59,-3.2683361389e+01,4.2508798255e-01,-3.3516518525e+01,-3.1850204253e+01,1
64,60,-3.1373068329e+01,4.1537590877e-01,-3.2187190151e+01,-3.0558946508e+01,1
64,61,-3.1773804254e+01,4.6779855126e-01,-3.2690672567e+01,-3.0856935942e+01,1
64,62,-3.1544742261e+01,4.0829877137e-01,-3.2344993148e+01,-3.0744491374e+01,1
64,63,-3.1727293336e+01,4.7382353098e-01,-3.2655970392e+01,-3.0798616281e+01,1
64,64,-3.1888677061e+01,3.5576470124e-01,-3.2585963063e+01,-3.1191391060e+01,1
64,65,-3.2901726523e+01,5.0871116212e-01,-3.3898782080e+01,-3.1904670967e+01,1
64,66,-3.2550717682e+01,4.8696877339e-01,-3.3505158940e+01,-3.1596276425e+01,1
64,67,-3.1658053498e+01,4.0949429789e-01,-3.2460647573e+01,-3.0855459422e+01,1
64,68,-3.1794131384e+01,4.6183544358e-01,-3.2699312220e+01,-3.0888950548e+01,1
64,69,-3.1980311103e+01,4.6846674363e-01,-3.2898489049e+01,-3.1062133158e+01,1
64,70,-3.2218776294e+01,4.6448058519e-01,-3.3129141513e+01,-3.1308411076e+01,1
64,71,-3.2663885125e+01,4.6592664753e-01,-3.3577084574e+01,-3.1750685676e+01,1
64,72,-3.1918227578e+01,4.6195291670e-01,-3.2823638657e+01,-3.1012816498e+01,1
64,73,-3.2273296569e+01,4.3583951593e-01,-3.3127526323e+01,-3.1419066814e+01,1
64,74,-3.1360554237e+01,4.4429080067e-01,-3.2231348205e+01,-3.0489760269e+01,1
64,75,-3.1676843191e+01,4.5319287738e-01,-3.2565084909e+01,-3.0788601474e+01,1
64,76,-3.2211857272e+01,4.5866812637e-01,-3.3110830280e+01,-3.1312884263e+01,1
64,77,-3.2649017759e+01,4.9051879169e-01,-3.3610416925e+01,-3.1687618594e+01,1
64,78,-3.1350562089e+01,4.5322004448e-01,-3.2238857054e+01,-3.0462267125e+01,1
64,79,-3.3000092702e+01,5.0227543051e-01,-3.3984534456e+01,-3.2015650948e+01,1
64,80,-3.2154690479e+01,4.4145839233e-01,-3.3019933029e+01,-3.1289447930e+01,1
64,81,-3.2314640540e+01,4.2678276868e-01,-3.3151119396e+01,-3.1478161684e+01,1
64,82,-3.1228831511e+01,4.9017814639e-01,-3.2189563024e+01,-3.0268099998e+01,1
64,83,-3.1844779312e+01,4.2958670618e-01,-3.2686753784e+01,-3.1002804839e+01,1
64,84,-3.1858877303e+01,5.0414041465e-01,-3.2846974359e+01,-3.0870780247e+01,1
64,85,-3.1383958216e+01,4.4402408081e-01,-3.2254229422e+01,-3.0513687009e+01,1
64,86,-3.1536794571e+01,5.0688465136e-01,-3.2530270232e+01,-3.0543318910e+01,1
64,87,-3.1865230499e+01,4.2402061757e-01,-3.2696295638e+01,-3.1034165360e+01,1
64,88,-3.2458695658e+01,4.3304507280e-01,-3.3307448405e+01,-3.1609942912e+01,1
64,89,-3.2277107557e+01,4.5656651288e-01,-3.3171961478e+01,-3.1382253635e+01,1
64,90,-3.2192054669e+01,4.2573341390e-01,-3.3026476827e+01,-3.1357632511e+01,1
64,91,-3.2710765217e+01,4.8591036494e-01,-3.3663132032e+01,-3.1758398402e+01,1
64,92,-3.2311727488e+01,4.9766357722e-01,-3.3287130176e+01,-3.1336324800e+01,1
64,93,-3.2068224188e+01,5.2675655287e-01,-3.3100648060e+01,-3.1035800316e+01,1
64,94,-3.1675579757e+01,4.8094396832e-01,-3.2618212614e+01,-3.0732946901e+01,1
64,95,-3.1605936938e+01,4.4167981788e-01,-3.2471613474e+01,-3.0740260402e+01,1
64,96,-3.1948144902e+01,5.0026526077e-01,-3.2928646796e+01,-3.0967643008e+01,1
64,97,-3.1811456386e+01,4.9573737451e-01,-3.2783083785e+01,-3.0839828986e+01,1
64,98,-3.2301643841e+01,4.5375016350e-01,-3.3190977820e+01,-3.1412309863e+01,1
64,99,-3.2158810535e+01,5.1770494884e-01,-3.3173493590e+01,-3.1144127481e+01,1
64,100,-3.1198255302e+01,4.7447739696e-01,-3.2128213912e+01,-3.0268296693e+01,1
